141.82.9.162, 2018-11-30 17:27:35, GET, /, HTTP/1.1, 303, 0.007093
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.346319
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000555
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000568
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000378
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001506
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000905
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001784
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000497
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000445
141.82.9.162, 2018-11-30 17:27:36, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000423
141.82.9.162, 2018-11-30 17:27:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.029730
141.82.9.162, 2018-11-30 17:27:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000445
141.82.9.162, 2018-11-30 17:27:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000545
141.82.8.54, 2019-03-11 23:27:20, GET, /, HTTP/1.1, 303, 0.007264
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.185616
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001290
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000656
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001144
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000418
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000345
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002142
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000525
141.82.8.54, 2019-03-11 23:27:20, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000357
141.82.8.54, 2019-03-11 23:27:21, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000478
141.82.8.54, 2019-03-11 23:27:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001229
141.82.8.54, 2019-03-11 23:27:21, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000519
141.82.8.54, 2019-03-11 23:27:21, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000430
141.82.8.54, 2019-03-11 23:52:44, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.146461
141.82.8.54, 2019-03-11 23:52:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
141.82.8.54, 2019-03-11 23:53:09, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.002430
141.82.8.54, 2019-03-11 23:53:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
141.82.8.54, 2019-03-12 00:00:33, GET, /welcome/default/wiki, HTTP/1.1, 404, 0.048468
141.82.8.54, 2019-03-12 00:00:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
141.82.8.54, 2019-03-12 00:00:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.025846
141.82.8.54, 2019-03-12 00:00:34, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000437
141.82.8.54, 2019-03-12 00:21:12, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.004576
141.82.8.54, 2019-03-12 00:22:11, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.001850
141.82.8.54, 2019-03-12 00:22:11, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.001538
141.82.8.54, 2019-03-12 00:22:12, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.001487
141.82.8.54, 2019-03-12 00:22:12, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.001565
141.82.8.54, 2019-03-12 00:22:12, GET, /ElementarTrumpf/ElementarTrumpfControl/index, HTTP/1.1, 404, 0.001536
